,Brand,Distributor,LinkofProduct,Name,Price,SKU
89,"""Microsoft"";","""7158"";",https://www.senheng.com.my/microsoft-surface-laptop-go.html,Microsoft Surface Laptop Go - Platinum,"RM2,758.00","""MS-LAPTOPGO-CFG"";"
90,"""TP-Link"";","""7158"";",https://www.senheng.com.my/tp-link-4g-lte-mobile-wi-fi-m7200.html,TP-Link 4G LTE Mobile Wi-Fi M7200,RM219.00,"""TP-M7200"";"
91,"""Acer"";","""7158"";",https://www.senheng.com.my/acer-aspire-3-15.6-inch-laptop-a315-56-36jm-intel-core-i3-1005g1-4gb-ddr4-512gb-pcie-ssd.html,Acer Aspire 3 15.6 Inch Laptop A315-56-36JM (Intel Core i3-1005G1/4GB DDR4/512GB PCIe SSD),"RM2,299.00","""ACE-A315-56-36JM"";"
92,"""Acer"";","""7158"";",https://www.senheng.com.my/acer-chromebook-311-11.6-lnch-celeron-quad-core-n4120-4gb-on-bd-lpddr4-32gb-emmc-ace-c733-c8f7.html,Acer Chromebook 311 11.6 lnch (Celeron quad-core N4120/ 4GB ON BD LPDDR4/32GB eMMC) ACE-C733-C8F7,"RM1,174.00 1,199.00","""ACE-C733-C8F7"";"
93,"""Microsoft"";","""7158"";",https://www.senheng.com.my/microsoft-surface-usb-c-to-ethernet-adapter-jwl-00007-.html,Microsoft Surface USB-C To Ethernet Adapter (JWL-00007),RM317.00,"""MS-MIC-JWL-00007"";"
94,"""HP"";","""7158"";",https://www.senheng.com.my/hp-notebook-14s-cf2039tx-14s-cf2038tx-14-inch-4gb-512gb-ssd-i5-10210u-amd-radeon-530-graphics.html,HP Notebook 14s-cf2039tx / 14s-cf2038tx 14 Inch (4GB/512GB SSD/i5-10210U/AMD Radeon™ 530 Graphics),"RM 2,169.00","""HP-14CF-CFG"";"
95,"""Apple"";","""7158"";",https://www.senheng.com.my/apple-16-inch-macbook-pro.html,Apple 16-inch MacBook Pro,"RM10,499.00","""APP-MBP16-2020-CFG"";"
96,"""Apple"";","""7158"";",https://www.senheng.com.my/apple-13-inch-macbook-pro-with-touch-bar-and-two-thunderbolt-3-ports.html,Apple 13-inch MacBook Pro with Touch Bar and Two Thunderbolt 3 ports,RM489.00,"""APP-MBP13-2020-2USB-CFG"";"
97,"""MSI"";","""7158"";",https://www.senheng.com.my/msi-23-6-inch-optix-g241vc-msi-g241vc.html,MSI 23.6 Inch Optix G241VC MSI-G241VC,RM649.00,"""MSI-G241VC"";"
98,"""MSI"";","""7158"";",https://www.senheng.com.my/msi-14-prestige-14-inch-i5-10210u-512gb-nvme-pcie-ssd-ddr-iv-16gb-2666mhz-mx330-2gb-gddr5-msi-p14-a10ras-223my.html,"MSI 14 Prestige 14 Inch (I5-10210U/512GB NVMe PCIe SSD/DDR IV 16GB 2666MHz/MX330, 2GB GDDR5) MSI-P14-A10RAS-223MY","RM4,299.00","""MSI-P14-A10RAS-223MY"";"
99,"""Apple"";","""7158"";",https://www.senheng.com.my/apple-macbook-air-m1-chip-2020.html,"Apple MacBook Air (M1 chip, 2020)","RM4,399.00","""APP-MACBOOKAIR-M1-2020-CFG"";"
100,"""Apple"";","""7158"";",https://www.senheng.com.my/apple-13-inch-macbook-pro-m1-chip-2020.html,"Apple MacBook Pro (13-inch, M1 chip, 2020)","RM5,599.00","""APP-MACBOOKPRO-M1-2020-CFG"";"
